track_id,track_name,popularity,duration,artist,liveness,danceability,energy,loudness,speechiness,acousticness,valence
4u06FbRh6FvV2FQZkouzCw,Arranhão - Ao Vivo,86,153409,Henrique & Juliano,0.97,0.486,0.871,-3.642,0.258,0.617,0.663
2kJRlOyrxsy7Ot3c5TZ8Q6,Meu Pedaço de Pecado,82,157175,João Gomes,0.257,0.668,0.887,-4.404,0.0564,0.369,0.907
2ookQf9qP2qiBuNFnNXyfl,Chega E Senta - Ao Vivo,84,153739,John Amplificado,0.0829,0.608,0.693,-4.057,0.0559,0.266,0.308
7aZusA4cWXz3Wv9e9uhavz,Quer Voar,85,187636,Matuê,0.0882,0.806,0.595,-6.166,0.246,0.138,0.677
4P7IXYPAkinTdZrBF5bGWp,Você Beberia Ou Não Beberia?,84,154662,Zé Neto & Cristiano,0.071,0.596,0.772,-4.721,0.0645,0.561,0.591
48Ll1C6qAnP2UjnopQDh4a,Bala Love,84,221538,Mc Anjim|Dj Lv Mdp|DJ PH DA SERRA,0.19,0.628,0.318,-8.887,0.0507,0.807,0.492
25141FAgU1OmwoC9W2i5E3,Rolê,78,174937,Tarcísio do Acordeon|Marcynho Sensação,0.0724,0.681,0.775,-4.153,0.0429,0.3,0.96
5Yu1AOnIzC1tWRJ4U0uW7u,Ela e Ela,84,168644,Zé Neto & Cristiano,0.172,0.575,0.669,-4.75,0.0341,0.273,0.524
5SwyN9hzmWjBsINlif8li8,Ficha Limpa,84,192725,Gusttavo Lima,0.243,0.774,0.732,-4.227,0.0308,0.108,0.734
4PQdrXMDHDPl1RczrrlADd,MORENA,84,193221,Luan Santana,0.0891,0.526,0.731,-4.662,0.0887,0.18,0.476
3ch7wKU1bmjdmBV1jBYsu8,É Dor Que Não Passa - Ao Vivo,1,176777,Ferrugem,0.937,0.6,0.769,-6.572,0.183,0.412,0.86
191ierbyWdfPQFSYspdort,Sonho por Sonho,48,223317,Belo,0.432,0.541,0.724,-7.776,0.0365,0.678,0.547
1bWBG6IkMnDr3qvCKSvQT7,Baby Me Atende,75,225671,Matheus Fernandes|Dilsinho,0.92,0.65,0.792,-3.825,0.0393,0.607,0.872
0FqVtQxRD3HsPltldG5v5M,Aquelas Coisas,83,147072,João Gomes,0.0946,0.682,0.873,-4.163,0.0449,0.402,0.964
3agFBAMPiIvzfTh7a9Udm6,Nota de Repúdio - Ao Vivo,83,164949,Gusttavo Lima,0.977,0.811,0.807,-2.681,0.1,0.381,0.766
1hs2hRwPfyFLoYIf6jY1W7,Zero Saudade - Ao Vivo,69,184639,Os Barões Da Pisadinha|Maiara & Maraisa,0.378,0.543,0.902,-1.778,0.0664,0.376,0.839
2R9IrE42Mw4zdUXAEFNiZL,Senta Danada,82,172621,Zé Felipe|Os Barões Da Pisadinha,0.0674,0.746,0.743,-3.349,0.0629,0.251,0.938
27NovPIUIRrOZoCHxABJwK,INDUSTRY BABY (feat. Jack Harlow),98,212000,Lil Nas X|Jack Harlow,0.0501,0.736,0.704,-7.409,0.0615,0.0203,0.894
5F2xRvRFkxDvqdFtUNAEyw,Se For Amor,81,239928,João Gomes|Vitor Fernandes,0.332,0.667,0.899,-4.402,0.0322,0.423,0.835
6pQKUKBpwr6GhfhcFFFozo,Não Nasceu pra Namorar,82,140307,MC Zaquin|MC Rick,0.0922,0.525,0.448,-4.075,0.0443,0.14,0.527
7gMWTBRgB5CZdNDSuweCyr,Se Essa Bunda,81,249125,Costa Gold|Kawe|André Nine,0.0363,0.946,0.595,-7.198,0.137,0.183,0.835
